App, thread, inputdata, exetime 
bfs,8,graph128k,0.026876
bfs,16,graph128k,0.023060
bfs,32,graph128k,0.024562
bfs,64,graph128k,0.034076
bfs,128,graph128k,0.084081
bfs,8,graph16k,0.022265
bfs,16,graph16k,0.021300
bfs,32,graph16k,0.022018
bfs,64,graph16k,0.034783
bfs,128,graph16k,0.098215
bfs,8,graph1MW_6,0.045892
bfs,16,graph1MW_6,0.043540
bfs,32,graph1MW_6,0.040806
bfs,64,graph1MW_6,0.054071
bfs,128,graph1MW_6,0.122081
bfs,8,graph1k,0.021957
bfs,16,graph1k,0.020560
bfs,32,graph1k,0.021066
bfs,64,graph1k,0.063344
bfs,128,graph1k,0.080467
bfs,8,graph256k,0.028086
bfs,16,graph256k,0.026628
bfs,32,graph256k,0.035441
bfs,64,graph256k,0.063631
bfs,128,graph256k,0.099745
bfs,8,graph2k,0.021391
bfs,16,graph2k,0.021243
bfs,32,graph2k,0.022379
bfs,64,graph2k,0.047549
bfs,128,graph2k,0.094560
bfs,8,graph32k,0.022374
bfs,16,graph32k,0.021542
bfs,32,graph32k,0.032760
bfs,64,graph32k,0.033892
bfs,128,graph32k,0.104832
bfs,8,graph4096,0.021809
bfs,16,graph4096,0.020656
bfs,32,graph4096,0.021392
bfs,64,graph4096,0.031306
bfs,128,graph4096,0.065670
bfs,8,graph4k,0.020631
bfs,16,graph4k,0.021430
bfs,32,graph4k,0.020633
bfs,64,graph4k,0.049314
bfs,128,graph4k,0.078675
bfs,8,graph512k,0.033871
bfs,16,graph512k,0.031205
bfs,32,graph512k,0.031396
bfs,64,graph512k,0.034625
bfs,128,graph512k,0.105787
bfs,8,graph64k,0.023013
bfs,16,graph64k,0.022723
bfs,32,graph64k,0.024496
bfs,64,graph64k,0.036450
bfs,128,graph64k,0.071841
bfs,8,graph65536,0.022108
bfs,16,graph65536,0.022913
bfs,32,graph65536,0.023324
bfs,64,graph65536,0.054639
bfs,128,graph65536,0.090627
bfs,8,graph8k,0.022202
bfs,16,graph8k,0.020567
bfs,32,graph8k,0.021229
bfs,64,graph8k,0.050289
bfs,128,graph8k,0.079598
