==161962== NVPROF is profiling process 161962, command: bfs_offload 32 ../../data/bfs/graph512k.txt
==161962== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==161962== Profiling application: bfs_offload 32 ../../data/bfs/graph512k.txt
==161962== Profiling result:
==161962== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147
         11                     fb_subp0_read_sectors        8714      309019       84106      925169
         11                     fb_subp1_read_sectors        8734      309739       84133      925473
         11                    fb_subp0_write_sectors        4252       98715       37715      414871
         11                    fb_subp1_write_sectors        4208       99191       37800      415810
         11              l2_subp0_write_sector_misses        5714       99238       39275      432034
         11              l2_subp1_write_sector_misses        5637       98979       39383      433221
         11               l2_subp0_read_sector_misses        8464      308424       84044      924488
         11               l2_subp1_read_sector_misses        8440      308822       84082      924902
         11          l2_subp0_read_tex_sector_queries        8412     1125412      204778     2252558
         11          l2_subp1_read_tex_sector_queries        8407     1116668      203503     2238539
         11         l2_subp0_write_tex_sector_queries      165425     1661731      536991     5906909
         11         l2_subp1_write_tex_sector_queries      230929      713436      325127     3576400
         11             l2_subp0_read_tex_hit_sectors        4308      917080      157917     1737093
         11             l2_subp1_read_tex_hit_sectors        4310      907379      156592     1722518
         11            l2_subp0_write_tex_hit_sectors      164231     1648999      531743     5849178
         11            l2_subp1_write_tex_hit_sectors      229729      701931      319873     3518613
         11        l2_subp0_total_read_sector_queries       56758     1621824      389833     4288164
         11        l2_subp1_total_read_sector_queries        8473     1122427      205250     2257757
         11       l2_subp0_total_write_sector_queries      165454     1690016      547179     6018978
         11       l2_subp1_total_write_sector_queries      230959      745349      335334     3688682
         11       l2_subp0_read_sysmem_sector_queries       48365      490918      183351     2016868
         11       l2_subp1_read_sysmem_sector_queries           0           0           0           0
         11      l2_subp0_write_sysmem_sector_queries           1           5           3          35
         11      l2_subp1_write_sysmem_sector_queries           0           4           1          20
         11                         elapsed_cycles_sm  1292800784  1.3090e+10  5305787299  5.8364e+10
         11                           prof_trigger_00           0           0           0           0
         11                           prof_trigger_01           0           0           0           0
