==164695== NVPROF is profiling process 164695, command: bfs_offload 64 ../../data/bfs/graph65536.txt
==164695== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==164695== Profiling application: bfs_offload 64 ../../data/bfs/graph65536.txt
==164695== Profiling result:
==164695== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147
         10                     fb_subp0_read_sectors        1046       37668       11102      111029
         10                     fb_subp1_read_sectors        1120       37529       11191      111917
         10                    fb_subp0_write_sectors        1718       24959        8494       84944
         10                    fb_subp1_write_sectors        1685       25138        8545       85458
         10              l2_subp0_write_sector_misses        1633       16671        7141       71413
         10              l2_subp1_write_sector_misses        1597       16813        7168       71686
         10               l2_subp0_read_sector_misses        1090       36682       10852      108529
         10               l2_subp1_read_sector_misses        1084       36615       10904      109041
         10          l2_subp0_read_tex_sector_queries        1176       87199       18083      180838
         10          l2_subp1_read_tex_sector_queries        1181       88645       18312      183128
         10         l2_subp0_write_tex_sector_queries       30224       95679       43356      433568
         10         l2_subp1_write_tex_sector_queries       22074      237168       74246      742464
         10             l2_subp0_read_tex_hit_sectors         652       60595       11338      113382
         10             l2_subp1_read_tex_hit_sectors         684       62208       11550      115509
         10            l2_subp0_write_tex_hit_sectors       29025       93234       41637      416371
         10            l2_subp1_write_tex_hit_sectors       20879      234707       72520      725202
         10        l2_subp0_total_read_sector_queries        7888      162285       46126      461267
         10        l2_subp1_total_read_sector_queries        1243       89777       18859      188590
         10       l2_subp0_total_write_sector_queries       30245       95700       43379      433798
         10       l2_subp1_total_write_sector_queries       22078      237172       74248      742484
         10       l2_subp0_read_sysmem_sector_queries        6624       74122       27566      275663
         10       l2_subp1_read_sysmem_sector_queries           0           0           0           0
         10      l2_subp0_write_sysmem_sector_queries           1           5           3          34
         10      l2_subp1_write_sysmem_sector_queries           0           4           1          16
         10                         elapsed_cycles_sm   165111508  1832407664   777802631  7778026312
         10                           prof_trigger_00           0           0           0           0
         10                           prof_trigger_01           0           0           0           0
         10                           prof_trigger_02           0           0           0           0
