==150513== NVPROF is profiling process 150513, command: bfs_offload 8 ../../data/bfs/graph1MW_6.txt
==150513== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==150513== Profiling application: bfs_offload 8 ../../data/bfs/graph1MW_6.txt
==150513== Profiling result:
==150513== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147
         12                     fb_subp0_read_sectors       16412      768879      173396     2080763
         12                     fb_subp1_read_sectors       16014      768520      173192     2078307
         12                    fb_subp0_write_sectors        7222      444094       94831     1137977
         12                    fb_subp1_write_sectors        7169      443260       94629     1135555
         12              l2_subp0_write_sector_misses        7270      443184       95757     1149084
         12              l2_subp1_write_sector_misses        7464      444811       95952     1151432
         12               l2_subp0_read_sector_misses       15980      768663      173312     2079749
         12               l2_subp1_read_sector_misses       15964      768724      173418     2081016
         12          l2_subp0_read_tex_sector_queries       15842     1493636      280361     3364336
         12          l2_subp1_read_tex_sector_queries       15844     1502474      281504     3378055
         12         l2_subp0_write_tex_sector_queries      439046     1318690      579283     6951406
         12         l2_subp1_write_tex_sector_queries      314096     3339002      923235    11078822
         12             l2_subp0_read_tex_hit_sectors        8029     1104084      194703     2336445
         12             l2_subp1_read_tex_hit_sectors        8025     1114992      196004     2352057
         12            l2_subp0_write_tex_hit_sectors      437849     1206222      557954     6695448
         12            l2_subp1_write_tex_hit_sectors      312900     3225861      901824    10821898
         12        l2_subp0_total_read_sector_queries       16150     1497347      282295     3387544
         12        l2_subp1_total_read_sector_queries      107788     2470653      603527     7242332
         12       l2_subp0_total_write_sector_queries      439072     1554576      618556     7422676
         12       l2_subp1_total_write_sector_queries      314133     3576123      962574    11550896
         12       l2_subp0_read_sysmem_sector_queries           0           0           0           0
         12       l2_subp1_read_sysmem_sector_queries       91728      964107      320077     3840932
         12      l2_subp0_write_sysmem_sector_queries           0           4           2          24
         12      l2_subp1_write_sysmem_sector_queries           1           5           3          36
         12                         elapsed_cycles_sm  2455339268  2.5828e+10  9551627880  1.1462e+11
         12                           prof_trigger_00           0           0           0           0
