======== Profiling result:
======== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147
          1                     fb_subp0_read_sectors        1104        1104        1104        1104
          1                     fb_subp1_read_sectors        1038        1038        1038        1038
          1                    fb_subp0_write_sectors        2057        2057        2057        2057
          1                    fb_subp1_write_sectors        2301        2301        2301        2301
          1              l2_subp0_write_sector_misses        2284        2284        2284        2284
          1              l2_subp1_write_sector_misses        2290        2290        2290        2290
          1               l2_subp0_read_sector_misses        1070        1070        1070        1070
          1               l2_subp1_read_sector_misses        1080        1080        1080        1080
          1          l2_subp0_read_tex_sector_queries        1206        1206        1206        1206
          1          l2_subp1_read_tex_sector_queries        1191        1191        1191        1191
          1         l2_subp0_write_tex_sector_queries       22066       22066       22066       22066
          1         l2_subp1_write_tex_sector_queries       30224       30224       30224       30224
          1             l2_subp0_read_tex_hit_sectors         660         660         660         660
          1             l2_subp1_read_tex_hit_sectors         645         645         645         645
          1            l2_subp0_write_tex_hit_sectors       20872       20872       20872       20872
          1            l2_subp1_write_tex_hit_sectors       29024       29024       29024       29024
          1        l2_subp0_total_read_sector_queries        1228        1228        1228        1228
          1        l2_subp1_total_read_sector_queries        7691        7691        7691        7691
          1       l2_subp0_total_write_sector_queries       22086       22086       22086       22086
          1       l2_subp1_total_write_sector_queries       30243       30243       30243       30243
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries        6463        6463        6463        6463
          1      l2_subp0_write_sysmem_sector_queries           4           4           4           4
          1      l2_subp1_write_sysmem_sector_queries           1           1           1           1
          1                         elapsed_cycles_sm   165439972   165439972   165439972   165439972
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           4           4           4           4
