kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,fb_subp0_read_sectors,2070,74534,21866
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,fb_subp1_read_sectors,2132,74618,21853
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,fb_subp0_write_sectors,1840,38831,13619
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,fb_subp1_write_sectors,1944,38775,13532
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_write_sector_misses,1918,39069,14320
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_write_sector_misses,1920,39030,14327
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_read_sector_misses,2138,74419,22017
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_read_sector_misses,2168,74369,22095
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_read_tex_sector_queries,2262,238268,49214
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_read_tex_sector_queries,2267,242273,49789
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_write_tex_sector_queries,58896,176359,84873
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_write_tex_sector_queries,42558,422116,145027
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_read_tex_hit_sectors,1234,183710,35614
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_read_tex_hit_sectors,1238,187112,36091
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_write_tex_hit_sectors,57696,172678,82636
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_write_tex_hit_sectors,41358,418437,142783
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_total_read_sector_queries,14327,360797,98273
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_total_read_sector_queries,2321,242419,50136
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_total_write_sector_queries,58911,176390,85537
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_total_write_sector_queries,42602,422138,145702
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_read_sysmem_sector_queries,12011,121643,48583
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_read_sysmem_sector_queries,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp0_write_sysmem_sector_queries,1,5,3
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,l2_subp1_write_sysmem_sector_queries,0,4,2
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,elapsed_cycles_sm,327928434,4246912074,1615992212
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_00,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_01,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_02,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_03,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_04,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_05,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_06,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,prof_trigger_07,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,warps_launched,4,4,4
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_issued0,15386761,154330076,61625914
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_issued1,923388,8986612,3610492
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed,923380,25916092,8573018
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,thread_inst_executed,126036756,330560225,165418868
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,not_predicated_off_thread_inst_executed,121784916,320618515,160156145
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,active_cycles,4096993,53035223,19304340
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,active_warps,44470368,329404006,139854739
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_atom,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,sm_cta_launched,1,1,1
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_atom_cas,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_load,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_store,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,generic_load,78164,790604,317364
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,generic_store,24835,177381,74701
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,global_load,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,global_store,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,local_load,380,380,380
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,local_store,380,380,380
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,atom_count,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,gred_count,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_ld_transactions,8,8,8
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_st_transactions,9,9,9
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_ld_bank_conflict,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,shared_st_bank_conflict,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,global_atom_cas,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,active_cycles_pm,4088394,41346373,16516686
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,active_warps_pm,16310224,163316762,65236480
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,elapsed_cycles_pm,327884126,3310869682,1322982345
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp16_pipe_s0,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp64_pipe_s0,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp64_pipe_s1,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp64_pipe_s2,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fp64_pipe_s3,0,0,0
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fma_pipe_s0,10,12,10
__omp_offloading_30_13579bc__Z8BFSGraphiPPc_l147,graph128k,128,10,inst_executed_fma_pipe_s1,10,10,10
