App, thread, inputdata, exetime 
bfs_offload,8,graph128k,27.733771
bfs_offload,16,graph128k,27.569198
bfs_offload,32,graph128k,27.546810
bfs_offload,64,graph128k,27.493412
bfs_offload,128,graph128k,27.526723
bfs_offload,8,graph16k,18.562042
bfs_offload,16,graph16k,18.353390
bfs_offload,32,graph16k,18.317031
bfs_offload,64,graph16k,18.650937
bfs_offload,128,graph16k,18.409337
bfs_offload,8,graph1MW_6,89.768074
bfs_offload,16,graph1MW_6,90.517734
bfs_offload,32,graph1MW_6,90.367632
bfs_offload,64,graph1MW_6,90.381407
bfs_offload,128,graph1MW_6,90.118315
bfs_offload,8,graph1k,16.495532
bfs_offload,16,graph1k,16.353078
bfs_offload,32,graph1k,16.546825
bfs_offload,64,graph1k,16.508135
bfs_offload,128,graph1k,16.405956
bfs_offload,8,graph256k,38.098986
bfs_offload,16,graph256k,38.190275
bfs_offload,32,graph256k,38.262020
bfs_offload,64,graph256k,37.965900
bfs_offload,128,graph256k,38.142692
bfs_offload,8,graph2k,14.257874
bfs_offload,16,graph2k,14.048010
bfs_offload,32,graph2k,14.237916
bfs_offload,64,graph2k,14.009728
bfs_offload,128,graph2k,14.157981
bfs_offload,8,graph32k,19.349970
bfs_offload,16,graph32k,19.374474
bfs_offload,32,graph32k,19.374501
bfs_offload,64,graph32k,19.489064
bfs_offload,128,graph32k,19.324045
bfs_offload,8,graph4096,15.934162
bfs_offload,16,graph4096,15.808403
bfs_offload,32,graph4096,15.896654
bfs_offload,64,graph4096,15.778226
bfs_offload,128,graph4096,15.741535
bfs_offload,8,graph4k,15.891917
bfs_offload,16,graph4k,15.767116
bfs_offload,32,graph4k,15.998491
bfs_offload,64,graph4k,15.729087
bfs_offload,128,graph4k,15.776922
bfs_offload,8,graph512k,55.480743
bfs_offload,16,graph512k,55.388203
bfs_offload,32,graph512k,55.352551
bfs_offload,64,graph512k,
bfs_offload,128,graph512k,55.290005
bfs_offload,8,graph64k,
bfs_offload,16,graph64k,23.529735
bfs_offload,32,graph64k,23.496004
bfs_offload,64,graph64k,23.532066
bfs_offload,128,graph64k,23.501434
bfs_offload,8,graph65536,23.680981
bfs_offload,16,graph65536,23.528888
bfs_offload,32,graph65536,23.807332
bfs_offload,64,graph65536,23.487361
bfs_offload,128,graph65536,23.725436
bfs_offload,8,graph8k,17.927785
bfs_offload,16,graph8k,17.913556
bfs_offload,32,graph8k,17.924957
bfs_offload,64,graph8k,17.974494
bfs_offload,128,graph8k,17.831924
