App, thread, inputdata, exetime 
gs_offload,8,64,0.237384
gs_offload,16,64,0.231657
gs_offload,32,64,0.234188
gs_offload,64,64,0.239488
gs_offload,128,64,0.237542
gs_offload,8,128,0.231824
gs_offload,16,128,0.231283
gs_offload,32,128,0.235097
gs_offload,64,128,0.241190
gs_offload,128,128,0.240956
gs_offload,8,256,0.233528
gs_offload,16,256,0.231462
gs_offload,32,256,0.232384
gs_offload,64,256,0.238459
gs_offload,128,256,0.241298
gs_offload,8,512,0.232514
gs_offload,16,512,0.232313
gs_offload,32,512,0.233363
gs_offload,64,512,0.238115
gs_offload,128,512,0.299688
gs_offload,8,1024,0.232288
gs_offload,16,1024,0.232393
gs_offload,32,1024,0.234445
gs_offload,64,1024,0.239795
gs_offload,128,1024,0.243342
gs_offload,8,2048,0.232239
gs_offload,16,2048,0.233349
gs_offload,32,2048,0.234872
gs_offload,64,2048,0.238304
gs_offload,128,2048,0.239104
gs_offload,8,4096,0.231911
gs_offload,16,4096,0.231486
gs_offload,32,4096,0.232944
gs_offload,64,4096,0.238228
gs_offload,128,4096,0.239562
gs_offload,8,8192,0.231418
gs_offload,16,8192,0.232582
gs_offload,32,8192,0.232970
gs_offload,64,8192,0.238764
gs_offload,128,8192,0.239189
