App, thread, inputdata, exetime 
gs_origin,8,64,0.000085
gs_origin,16,64,0.000397
gs_origin,32,64,0.001742
gs_origin,64,64,0.007272
gs_origin,128,64,0.029978
gs_origin,8,128,0.000080
gs_origin,16,128,0.000398
gs_origin,32,128,0.001735
gs_origin,64,128,0.007269
gs_origin,128,128,0.029949
gs_origin,8,256,0.000078
gs_origin,16,256,0.000401
gs_origin,32,256,0.001739
gs_origin,64,256,0.007267
gs_origin,128,256,0.029977
gs_origin,8,512,0.000080
gs_origin,16,512,0.000404
gs_origin,32,512,0.001743
gs_origin,64,512,0.007288
gs_origin,128,512,0.029988
gs_origin,8,1024,0.000081
gs_origin,16,1024,0.000397
gs_origin,32,1024,0.001738
gs_origin,64,1024,0.007272
gs_origin,128,1024,0.029986
gs_origin,8,2048,0.000082
gs_origin,16,2048,0.000399
gs_origin,32,2048,0.001742
gs_origin,64,2048,0.007267
gs_origin,128,2048,0.029981
gs_origin,8,4096,0.000080
gs_origin,16,4096,0.000400
gs_origin,32,4096,0.001735
gs_origin,64,4096,0.007267
gs_origin,128,4096,0.029971
gs_origin,8,8192,0.000079
gs_origin,16,8192,0.000399
gs_origin,32,8192,0.001738
gs_origin,64,8192,0.007282
gs_origin,128,8192,0.029956
