==121405== NVPROF is profiling process 121405, command: hotspot_offload 64 64 2 64 ../../data/hotspot/temp_64 ../../data/hotspot/power_64 output.out
==121405== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==121405== Profiling application: hotspot_offload 64 64 2 64 ../../data/hotspot/temp_64 ../../data/hotspot/power_64 output.out
==121405== Profiling result:
==121405== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183
          1                     fb_subp0_read_sectors        3802        3802        3802        3802
          1                     fb_subp1_read_sectors        3735        3735        3735        3735
          1                    fb_subp0_write_sectors        3383        3383        3383        3383
          1                    fb_subp1_write_sectors        3373        3373        3373        3373
          1              l2_subp0_write_sector_misses        2549        2549        2549        2549
          1              l2_subp1_write_sector_misses        2572        2572        2572        2572
          1               l2_subp0_read_sector_misses        2283        2283        2283        2283
          1               l2_subp1_read_sector_misses        2265        2265        2265        2265
          1          l2_subp0_read_tex_sector_queries         798         798         798         798
          1          l2_subp1_read_tex_sector_queries         807         807         807         807
          1         l2_subp0_write_tex_sector_queries       14268       14268       14268       14268
          1         l2_subp1_write_tex_sector_queries        7463        7463        7463        7463
          1             l2_subp0_read_tex_hit_sectors         561         561         561         561
          1             l2_subp1_read_tex_hit_sectors         572         572         572         572
          1            l2_subp0_write_tex_hit_sectors        7265        7265        7265        7265
          1            l2_subp1_write_tex_hit_sectors       13976       13976       13976       13976
          1        l2_subp0_total_read_sector_queries      105515      105515      105515      105515
          1        l2_subp1_total_read_sector_queries        4349        4349        4349        4349
          1       l2_subp0_total_write_sector_queries       15027       15027       15027       15027
          1       l2_subp1_total_write_sector_queries        8190        8190        8190        8190
          1       l2_subp0_read_sysmem_sector_queries      100500      100500      100500      100500
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  2626231564  2626231564  2626231564  2626231564
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched           2           2           2           2
          1                              inst_issued0    63621374    63621374    63621374    63621374
