kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,fb_subp0_read_sectors,307974,307974,307974
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,fb_subp1_read_sectors,308333,308333,308333
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,fb_subp0_write_sectors,181447,181447,181447
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,fb_subp1_write_sectors,181618,181618,181618
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_write_sector_misses,194939,194939,194939
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_write_sector_misses,194725,194725,194725
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_read_sector_misses,309801,309801,309801
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_read_sector_misses,309707,309707,309707
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_read_tex_sector_queries,272174,272174,272174
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_read_tex_sector_queries,272308,272308,272308
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_write_tex_sector_queries,3801948,3801948,3801948
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_write_tex_sector_queries,3304103,3304103,3304103
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_read_tex_hit_sectors,142979,142979,142979
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_read_tex_hit_sectors,142870,142870,142870
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_write_tex_hit_sectors,3768940,3768940,3768940
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_write_tex_hit_sectors,3271087,3271087,3271087
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_total_read_sector_queries,398391,398391,398391
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_total_read_sector_queries,24601116,24601116,24601116
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_total_write_sector_queries,3829088,3829088,3829088
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_total_write_sector_queries,3331312,3331312,3331312
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_read_sysmem_sector_queries,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_read_sysmem_sector_queries,24197339,24197339,24197339
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp0_write_sysmem_sector_queries,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,l2_subp1_write_sysmem_sector_queries,9,9,9
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_00,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_01,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_02,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_03,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_04,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_05,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_06,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,prof_trigger_07,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,warps_launched,2,2,2
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_issued0,1.5924e+10,1.5924e+10,1.5924e+10
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_issued1,504805224,504805224,504805224
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed,504805183,504805183,504805183
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,thread_inst_executed,1216248816,1216248816,1216248816
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,not_predicated_off_thread_inst_executed,1211464245,1211464245,1211464245
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,active_cycles,8223495015,8223495015,8223495015
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,active_warps,2.9567e+10,2.9567e+10,2.9567e+10
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_atom,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,sm_cta_launched,1,1,1
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_atom_cas,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_load,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_store,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,generic_load,46108267,46108267,46108267
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,generic_store,7105581,7105581,7105581
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,global_load,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,global_store,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,local_load,466,466,466
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,local_store,464,464,464
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,atom_count,8,8,8
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,gred_count,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_ld_transactions,82,82,82
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_st_transactions,142,142,142
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_ld_bank_conflict,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,shared_st_bank_conflict,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,global_atom_cas,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp16_pipe_s0,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp64_pipe_s0,57232,57232,57232
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp64_pipe_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp64_pipe_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fp64_pipe_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fma_pipe_s0,33839092,33839092,33839092
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fma_pipe_s1,160,160,160
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fma_pipe_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,inst_executed_fma_pipe_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,tensor_pipe_active_cycles_s0,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,tensor_pipe_active_cycles_s1,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,tensor_pipe_active_cycles_s2,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,tensor_pipe_active_cycles_s3,0,0,0
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,pcie_tx_active_pulse,625,625,625
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,1024,128,1,pcie_rx_active_pulse,1201,1201,1201
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,fb_subp0_read_sectors,40582,40582,40582
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,fb_subp1_read_sectors,40570,40570,40570
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,fb_subp0_write_sectors,38303,38303,38303
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,fb_subp1_write_sectors,37983,37983,37983
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp0_write_sector_misses,39100,39100,39100
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp1_write_sector_misses,39001,39001,39001
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp0_read_sector_misses,41267,41267,41267
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp1_read_sector_misses,41261,41261,41261
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp0_read_tex_sector_queries,64843,64843,64843
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp1_read_tex_sector_queries,64871,64871,64871
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp0_write_tex_sector_queries,945596,945596,945596
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp1_write_tex_sector_queries,793868,793868,793868
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp0_read_tex_hit_sectors,48834,48834,48834
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp1_read_tex_hit_sectors,48802,48802,48802
__omp_offloading_30_958188__Z17compute_tran_tempPfiS_S_ii_l183,512,128,1,l2_subp0_write_tex_hit_sectors,940664,940664,940664
