App, thread, inputdata, exetime 
hotspot_offload,8,64,3.347448
hotspot_offload,16,64,2.577027
hotspot_offload,32,64,2.577316
hotspot_offload,64,64,2.576859
hotspot_offload,128,64,2.575483
hotspot_offload,8,512,83.403643
hotspot_offload,16,512,83.257807
hotspot_offload,32,512,83.376524
hotspot_offload,64,512,83.228680
hotspot_offload,128,512,83.363418
hotspot_offload,8,1024,329.918604
hotspot_offload,16,1024,328.609871
hotspot_offload,32,1024,329.324978
hotspot_offload,64,1024,330.101873
hotspot_offload,128,1024,329.478493
