App, thread, inputdata, exetime 
jacobi,8,200,0.630986
jacobi,16,200,1.799258
jacobi,32,200,6.501045
jacobi,64,200,9.807839
jacobi,128,200,10.218380
jacobi,8,400,0.644155
jacobi,16,400,2.113287
jacobi,32,400,7.894751
jacobi,64,400,8.668028
jacobi,128,400,10.124726
jacobi,8,600,0.735325
jacobi,16,600,2.370443
jacobi,32,600,7.327328
jacobi,64,600,9.826777
jacobi,128,600,8.133225
jacobi,8,800,0.678391
jacobi,16,800,2.389494
jacobi,32,800,7.161634
jacobi,64,800,9.617481
jacobi,128,800,8.677517
jacobi,8,1000,0.684660
jacobi,16,1000,2.173165
jacobi,32,1000,6.692428
jacobi,64,1000,9.959496
jacobi,128,1000,10.670914
jacobi,8,1200,0.606647
jacobi,16,1200,2.094240
jacobi,32,1200,7.151009
jacobi,64,1200,9.554801
jacobi,128,1200,9.404979
jacobi,8,1400,0.666104
jacobi,16,1400,1.932595
jacobi,32,1400,6.041942
jacobi,64,1400,10.476967
jacobi,128,1400,9.985110
jacobi,8,1600,0.584756
jacobi,16,1600,2.270878
jacobi,32,1600,7.055583
jacobi,64,1600,9.083424
jacobi,128,1600,8.743730
jacobi,8,1800,0.652319
jacobi,16,1800,2.027055
jacobi,32,1800,5.980513
jacobi,64,1800,8.846988
jacobi,128,1800,11.315921
jacobi,8,2000,0.637684
jacobi,16,2000,2.339185
jacobi,32,2000,6.637800
jacobi,64,2000,8.869338
jacobi,128,2000,10.689405
