App, thread, inputdata, exetime 
jacobi_offload,8,200,0.313712
jacobi_offload,16,200,0.628885
jacobi_offload,32,200,1.873537
jacobi_offload,64,200,3.350550
jacobi_offload,128,200,4.541713
jacobi_offload,8,400,0.296123
jacobi_offload,16,400,0.582742
jacobi_offload,32,400,1.910748
jacobi_offload,64,400,3.285067
jacobi_offload,128,400,4.349087
jacobi_offload,8,600,0.294623
jacobi_offload,16,600,0.617709
jacobi_offload,32,600,1.890192
jacobi_offload,64,600,3.330381
jacobi_offload,128,600,4.403139
jacobi_offload,8,800,0.295402
jacobi_offload,16,800,0.582065
jacobi_offload,32,800,1.920390
jacobi_offload,64,800,3.329089
jacobi_offload,128,800,4.390159
jacobi_offload,8,1000,0.294386
jacobi_offload,16,1000,0.576862
jacobi_offload,32,1000,1.926773
jacobi_offload,64,1000,3.422450
jacobi_offload,128,1000,4.354562
jacobi_offload,8,1200,0.294494
jacobi_offload,16,1200,0.580656
jacobi_offload,32,1200,1.860222
jacobi_offload,64,1200,3.345056
jacobi_offload,128,1200,4.280884
jacobi_offload,8,1400,0.296522
jacobi_offload,16,1400,0.583080
jacobi_offload,32,1400,1.888853
jacobi_offload,64,1400,3.503452
jacobi_offload,128,1400,4.351060
jacobi_offload,8,1600,0.294475
jacobi_offload,16,1600,0.583247
jacobi_offload,32,1600,1.923312
jacobi_offload,64,1600,3.362105
jacobi_offload,128,1600,4.350125
jacobi_offload,8,1800,0.297119
jacobi_offload,16,1800,0.618313
jacobi_offload,32,1800,1.961506
jacobi_offload,64,1800,3.279283
jacobi_offload,128,1800,4.395998
jacobi_offload,8,2000,0.294252
jacobi_offload,16,2000,0.577040
jacobi_offload,32,2000,1.866089
jacobi_offload,64,2000,3.294794
jacobi_offload,128,2000,4.360246
