App, thread, inputdata, exetime 
mm,8,50,0.000015
mm,16,50,0.000024
mm,32,50,0.000065
mm,64,50,0.000318
mm,128,50,0.002981
mm,8,100,0.000015
mm,16,100,0.000023
mm,32,100,0.000067
mm,64,100,0.000566
mm,128,100,0.002553
mm,8,150,0.000014
mm,16,150,0.000024
mm,32,150,0.000065
mm,64,150,0.000318
mm,128,150,0.002671
mm,8,200,0.000014
mm,16,200,0.000023
mm,32,200,0.000059
mm,64,200,0.000318
mm,128,200,0.002846
mm,8,250,0.000014
mm,16,250,0.000024
mm,32,250,0.000073
mm,64,250,0.000315
mm,128,250,0.003420
mm,8,300,0.000015
mm,16,300,0.000024
mm,32,300,0.000069
mm,64,300,0.000617
mm,128,300,0.003998
mm,8,350,0.000014
mm,16,350,0.000023
mm,32,350,0.000061
mm,64,350,0.000315
mm,128,350,0.002934
mm,8,400,0.000014
mm,16,400,0.000023
mm,32,400,0.000070
mm,64,400,0.000308
mm,128,400,0.002875
mm,8,450,0.000014
mm,16,450,0.000024
mm,32,450,0.000065
mm,64,450,0.000315
mm,128,450,0.002597
mm,8,500,0.000016
mm,16,500,0.000023
mm,32,500,0.000065
mm,64,500,0.000320
mm,128,500,0.004050
