==74733== NVPROF is profiling process 74733, command: mm_offload 16 150
==74733== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==74733== Profiling application: mm_offload 16 150
==74733== Profiling result:
==74733== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_13046cf_main_l50
          1                     fb_subp0_read_sectors         290         290         290         290
          1                     fb_subp1_read_sectors         144         144         144         144
          1                    fb_subp0_write_sectors        3643        3643        3643        3643
          1                    fb_subp1_write_sectors        3234        3234        3234        3234
          1              l2_subp0_write_sector_misses        3498        3498        3498        3498
          1              l2_subp1_write_sector_misses        3452        3452        3452        3452
          1               l2_subp0_read_sector_misses         246         246         246         246
          1               l2_subp1_read_sector_misses         188         188         188         188
          1          l2_subp0_read_tex_sector_queries         234         234         234         234
          1          l2_subp1_read_tex_sector_queries         228         228         228         228
          1         l2_subp0_write_tex_sector_queries        5392        5392        5392        5392
          1         l2_subp1_write_tex_sector_queries        5392        5392        5392        5392
          1             l2_subp0_read_tex_hit_sectors         154         154         154         154
          1             l2_subp1_read_tex_hit_sectors         148         148         148         148
          1            l2_subp0_write_tex_hit_sectors        2464        2464        2464        2464
          1            l2_subp1_write_tex_hit_sectors        2464        2464        2464        2464
          1        l2_subp0_total_read_sector_queries         532         532         532         532
          1        l2_subp1_total_read_sector_queries         787         787         787         787
          1       l2_subp0_total_write_sector_queries        5404        5404        5404        5404
          1       l2_subp1_total_write_sector_queries        5411        5411        5411        5411
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries         372         372         372         372
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           5           5           5           5
          1                         elapsed_cycles_sm    10361364    10361364    10361364    10361364
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
