kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_2f_13046cf_main_l50,100,128,1,fb_subp0_read_sectors,42088,42088,42088
__omp_offloading_2f_13046cf_main_l50,100,128,1,fb_subp1_read_sectors,42203,42203,42203
__omp_offloading_2f_13046cf_main_l50,100,128,1,fb_subp0_write_sectors,221990,221990,221990
__omp_offloading_2f_13046cf_main_l50,100,128,1,fb_subp1_write_sectors,221376,221376,221376
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_write_sector_misses,229961,229961,229961
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_write_sector_misses,229480,229480,229480
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_read_sector_misses,43666,43666,43666
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_read_sector_misses,43713,43713,43713
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_read_tex_sector_queries,224912,224912,224912
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_read_tex_sector_queries,224716,224716,224716
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_write_tex_sector_queries,681592,681592,681592
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_write_tex_sector_queries,696712,696712,696712
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_read_tex_hit_sectors,183063,183063,183063
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_read_tex_hit_sectors,182959,182959,182959
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_write_tex_hit_sectors,488436,488436,488436
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_write_tex_hit_sectors,503532,503532,503532
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_total_read_sector_queries,225562,225562,225562
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_total_read_sector_queries,226470,226470,226470
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_total_write_sector_queries,693698,693698,693698
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_total_write_sector_queries,708759,708759,708759
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_read_sysmem_sector_queries,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_read_sysmem_sector_queries,1162,1162,1162
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp0_write_sysmem_sector_queries,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,l2_subp1_write_sysmem_sector_queries,5,5,5
__omp_offloading_2f_13046cf_main_l50,100,128,1,elapsed_cycles_sm,34559452,34559452,34559452
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_00,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_01,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_02,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_03,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_04,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_05,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_06,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,prof_trigger_07,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,warps_launched,512,512,512
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_issued0,117363744,117363744,117363744
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_issued1,9859712,9859712,9859712
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed,28574848,28574848,28574848
__omp_offloading_2f_13046cf_main_l50,100,128,1,thread_inst_executed,908257280,908257280,908257280
__omp_offloading_2f_13046cf_main_l50,100,128,1,not_predicated_off_thread_inst_executed,879943296,879943296,879943296
__omp_offloading_2f_13046cf_main_l50,100,128,1,active_cycles,33446433,33446433,33446433
__omp_offloading_2f_13046cf_main_l50,100,128,1,active_warps,395744352,395744352,395744352
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_atom,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,sm_cta_launched,128,128,128
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_atom_cas,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_load,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_store,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,generic_load,702464,702464,702464
__omp_offloading_2f_13046cf_main_l50,100,128,1,generic_store,170624,170624,170624
__omp_offloading_2f_13046cf_main_l50,100,128,1,global_load,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,global_store,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,local_load,74752,74752,74752
__omp_offloading_2f_13046cf_main_l50,100,128,1,local_store,75776,75776,75776
__omp_offloading_2f_13046cf_main_l50,100,128,1,atom_count,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,gred_count,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_ld_transactions,1567,1567,1567
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_st_transactions,1165,1165,1165
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_ld_bank_conflict,1,1,1
__omp_offloading_2f_13046cf_main_l50,100,128,1,shared_st_bank_conflict,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,global_atom_cas,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,active_cycles_pm,31923736,31923736,31923736
__omp_offloading_2f_13046cf_main_l50,100,128,1,active_warps_pm,204341270,204341270,204341270
__omp_offloading_2f_13046cf_main_l50,100,128,1,elapsed_cycles_pm,33020254,33020254,33020254
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp16_pipe_s0,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp16_pipe_s1,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp16_pipe_s2,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp16_pipe_s3,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp64_pipe_s0,32768,32768,32768
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp64_pipe_s1,32768,32768,32768
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp64_pipe_s2,32768,32768,32768
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fp64_pipe_s3,32768,32768,32768
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fma_pipe_s0,70344,70344,70344
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fma_pipe_s1,70336,70336,70336
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fma_pipe_s2,70326,70326,70326
__omp_offloading_2f_13046cf_main_l50,100,128,1,inst_executed_fma_pipe_s3,70338,70338,70338
__omp_offloading_2f_13046cf_main_l50,100,128,1,tensor_pipe_active_cycles_s0,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,tensor_pipe_active_cycles_s1,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,tensor_pipe_active_cycles_s2,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,tensor_pipe_active_cycles_s3,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,pcie_tx_active_pulse,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,pcie_rx_active_pulse,0,0,0
__omp_offloading_2f_13046cf_main_l50,100,128,1,active_cycles_sys,382831,382831,382831
__omp_offloading_2f_13046cf_main_l50,100,128,1,elapsed_cycles_sys,382831,382831,382831
__omp_offloading_2f_13046cf_main_l64,100,128,1,fb_subp0_read_sectors,42200,42200,42200
__omp_offloading_2f_13046cf_main_l64,100,128,1,fb_subp1_read_sectors,42315,42315,42315
__omp_offloading_2f_13046cf_main_l64,100,128,1,fb_subp0_write_sectors,223756,223756,223756
__omp_offloading_2f_13046cf_main_l64,100,128,1,fb_subp1_write_sectors,222712,222712,222712
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp0_write_sector_misses,230527,230527,230527
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp1_write_sector_misses,230158,230158,230158
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp0_read_sector_misses,43899,43899,43899
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp1_read_sector_misses,43708,43708,43708
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp0_read_tex_sector_queries,224912,224912,224912
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp1_read_tex_sector_queries,224772,224772,224772
__omp_offloading_2f_13046cf_main_l64,100,128,1,l2_subp0_write_tex_sector_queries,681592,681592,681592
