App, thread, inputdata, exetime 
mm_offload,8,50,0.210689
mm_offload,16,50,0.206238
mm_offload,32,50,0.225204
mm_offload,64,50,0.299061
mm_offload,128,50,0.347474
mm_offload,8,100,0.204723
mm_offload,16,100,0.205279
mm_offload,32,100,0.294610
mm_offload,64,100,0.260562
mm_offload,128,100,0.350827
mm_offload,8,150,0.204610
mm_offload,16,150,0.206742
mm_offload,32,150,0.204101
mm_offload,64,150,0.297581
mm_offload,128,150,0.306297
mm_offload,8,200,0.235791
mm_offload,16,200,0.206226
mm_offload,32,200,0.213583
mm_offload,64,200,0.309025
mm_offload,128,200,0.307333
mm_offload,8,250,0.205737
mm_offload,16,250,0.260883
mm_offload,32,250,0.205496
mm_offload,64,250,0.307597
mm_offload,128,250,0.310669
mm_offload,8,300,0.210767
mm_offload,16,300,0.208989
mm_offload,32,300,0.296179
mm_offload,64,300,0.308120
mm_offload,128,300,0.306043
mm_offload,8,350,0.205978
mm_offload,16,350,0.206652
mm_offload,32,350,0.204994
mm_offload,64,350,0.308536
mm_offload,128,350,0.340066
mm_offload,8,400,0.205099
mm_offload,16,400,0.206759
mm_offload,32,400,0.205113
mm_offload,64,400,0.307214
mm_offload,128,400,0.307191
mm_offload,8,450,0.205112
mm_offload,16,450,0.206206
mm_offload,32,450,0.264635
mm_offload,64,450,0.305163
mm_offload,128,450,0.325126
mm_offload,8,500,0.205535
mm_offload,16,500,0.205725
mm_offload,32,500,0.211058
mm_offload,64,500,0.269905
mm_offload,128,500,0.347105
