App, thread, inputdata, exetime 
needle,8,64,0.025337
needle,16,64,0.019896
needle,32,64,0.021574
needle,64,64,0.046403
needle,128,64,0.064486
needle,8,128,0.020969
needle,16,128,0.020011
needle,32,128,0.020234
needle,64,128,0.035390
needle,128,128,0.109308
needle,8,256,0.021451
needle,16,256,0.021655
needle,32,256,0.031789
needle,64,256,0.076611
needle,128,256,0.125067
needle,8,512,0.022472
needle,16,512,0.022227
needle,32,512,0.034189
needle,64,512,0.101577
needle,128,512,0.162988
needle,8,1024,0.030071
needle,16,1024,0.026993
needle,32,1024,0.053659
needle,64,1024,0.082478
needle,128,1024,0.206826
needle,8,2048,0.053721
needle,16,2048,0.034568
needle,32,2048,0.047424
needle,64,2048,0.094183
needle,128,2048,0.457044
needle,8,4096,0.118873
needle,16,4096,0.093025
needle,32,4096,0.069567
needle,64,4096,0.227562
needle,128,4096,0.593057
