App, thread, inputdata, exetime 
needle_offload,8,64,0.271566
needle_offload,16,64,0.265682
needle_offload,32,64,0.265113
needle_offload,64,64,0.264756
needle_offload,128,64,0.262044
needle_offload,8,128,0.361469
needle_offload,16,128,0.346602
needle_offload,32,128,0.346875
needle_offload,64,128,0.348221
needle_offload,128,128,0.349649
needle_offload,8,256,0.715862
needle_offload,16,256,0.713787
needle_offload,32,256,0.717303
needle_offload,64,256,0.713301
needle_offload,128,256,0.715678
needle_offload,8,512,2.179655
needle_offload,16,512,2.180222
needle_offload,32,512,2.243703
needle_offload,64,512,2.180150
needle_offload,128,512,2.181865
needle_offload,8,1024,8.041458
needle_offload,16,1024,8.039207
needle_offload,32,1024,8.045814
needle_offload,64,1024,8.038657
needle_offload,128,1024,8.040018
needle_offload,8,2048,31.469708
needle_offload,16,2048,31.469860
needle_offload,32,2048,31.473128
needle_offload,64,2048,31.526392
needle_offload,128,2048,31.470154
needle_offload,8,4096,125.170418
needle_offload,16,4096,125.159977
needle_offload,32,4096,125.162437
needle_offload,64,4096,125.161515
needle_offload,128,4096,125.159274
