==83157== NVPROF is profiling process 83157, command: saxpy_offload 32
==83157== Some kernel(s) will be replayed on device 0 in order to collect all events/metrics.
==83157== Profiling application: saxpy_offload 32
==83157== Profiling result:
==83157== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "Tesla V100-SXM2-16GB (0)"
    Kernel: __omp_offloading_2f_3253403_main_l37
          1                     fb_subp0_read_sectors   765254351   765254351   765254351   765254351
          1                     fb_subp1_read_sectors   764310773   764310773   764310773   764310773
          1                    fb_subp0_write_sectors  1832610631  1832610631  1832610631  1832610631
          1                    fb_subp1_write_sectors  1831854242  1831854242  1831854242  1831854242
          1              l2_subp0_write_sector_misses  1832220517  1832220517  1832220517  1832220517
          1              l2_subp1_write_sector_misses  1831761689  1831761689  1831761689  1831761689
          1               l2_subp0_read_sector_misses   765065627   765065627   765065627   765065627
          1               l2_subp1_read_sector_misses   764405534   764405534   764405534   764405534
          1          l2_subp0_read_tex_sector_queries   873682743   873682743   873682743   873682743
          1          l2_subp1_read_tex_sector_queries   872853580   872853580   872853580   872853580
          1         l2_subp0_write_tex_sector_queries  2146867000  2146867000  2146867000  2146867000
          1         l2_subp1_write_tex_sector_queries  2148100296  2148100296  2148100296  2148100296
          1             l2_subp0_read_tex_hit_sectors   108351716   108351716   108351716   108351716
          1             l2_subp1_read_tex_hit_sectors   108207831   108207831   108207831   108207831
          1            l2_subp0_write_tex_hit_sectors   548344368   548344368   548344368   548344368
          1            l2_subp1_write_tex_hit_sectors   549854708   549854708   549854708   549854708
          1        l2_subp0_total_read_sector_queries   874044367   874044367   874044367   874044367
          1        l2_subp1_total_read_sector_queries   872460907   872460907   872460907   872460907
          1       l2_subp0_total_write_sector_queries  2146863983  2146863983  2146863983  2146863983
          1       l2_subp1_total_write_sector_queries  2148103518  2148103518  2148103518  2148103518
          1       l2_subp0_read_sysmem_sector_queries      751134      751134      751134      751134
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  3.0546e+10  3.0546e+10  3.0546e+10  3.0546e+10
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched     4194304     4194304     4194304     4194304
          1                              inst_issued0  1.0839e+11  1.0839e+11  1.0839e+11  1.0839e+11
          1                              inst_issued1  1.5239e+10  1.5239e+10  1.5239e+10  1.5239e+10
          1                             inst_executed  1.5235e+10  1.5235e+10  1.5235e+10  1.5235e+10
          1                      thread_inst_executed  1.6249e+12  1.6249e+12  1.6249e+12  1.6249e+12
          1   not_predicated_off_thread_inst_executed  1.5666e+12  1.5666e+12  1.5666e+12  1.5666e+12
          1                             active_cycles  3.0553e+10  3.0553e+10  3.0553e+10  3.0553e+10
          1                              active_warps  2.8926e+12  2.8926e+12  2.8926e+12  2.8926e+12
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched     1048576     1048576     1048576     1048576
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load   264241152   264241152   264241152   264241152
          1                             generic_store   265289728   265289728   265289728   265289728
          1                               global_load           0           0           0           0
          1                              global_store           0           0           0           0
          1                                local_load   557842432   557842432   557842432   557842432
          1                               local_store   566231040   566231040   566231040   566231040
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                    shared_ld_transactions    13904755    13904755    13904755    13904755
          1                    shared_st_transactions     9772860     9772860     9772860     9772860
          1                   shared_ld_bank_conflict      711200      711200      711200      711200
          1                   shared_st_bank_conflict      258932      258932      258932      258932
          1                           global_atom_cas           0           0           0           0
          1                          active_cycles_pm  3.0545e+10  3.0545e+10  3.0545e+10  3.0545e+10
          1                           active_warps_pm  2.6476e+11  2.6476e+11  2.6476e+11  2.6476e+11
          1                         elapsed_cycles_pm  3.0548e+10  3.0548e+10  3.0548e+10  3.0548e+10
          1                inst_executed_fp16_pipe_s0           0           0           0           0
          1                inst_executed_fp16_pipe_s1           0           0           0           0
          1                inst_executed_fp16_pipe_s2           0           0           0           0
          1                inst_executed_fp16_pipe_s3           0           0           0           0
          1                inst_executed_fp64_pipe_s0           0           0           0           0
          1                inst_executed_fp64_pipe_s1           0           0           0           0
          1                inst_executed_fp64_pipe_s2           0           0           0           0
          1                inst_executed_fp64_pipe_s3           0           0           0           0
          1                 inst_executed_fma_pipe_s0   203948020   203948020   203948020   203948020
          1                 inst_executed_fma_pipe_s1   203948038   203948038   203948038   203948038
          1                 inst_executed_fma_pipe_s2   203948040   203948040   203948040   203948040
          1                 inst_executed_fma_pipe_s3   203948030   203948030   203948030   203948030
          1              tensor_pipe_active_cycles_s0           0           0           0           0
          1              tensor_pipe_active_cycles_s1           0           0           0           0
          1              tensor_pipe_active_cycles_s2           0           0           0           0
          1              tensor_pipe_active_cycles_s3           0           0           0           0
          1                      pcie_tx_active_pulse          33          33          33          33
          1                      pcie_rx_active_pulse          41          41          41          41
          1                         active_cycles_sys   352313227   352313227   352313227   352313227
          1                        elapsed_cycles_sys   352313227   352313227   352313227   352313227
    Kernel: __omp_offloading_2f_3253403_main_l27
          1                     fb_subp0_read_sectors   823081108   823081108   823081108   823081108
          1                     fb_subp1_read_sectors   822583698   822583698   822583698   822583698
          1                    fb_subp0_write_sectors  2004452364  2004452364  2004452364  2004452364
          1                    fb_subp1_write_sectors  2005316496  2005316496  2005316496  2005316496
          1              l2_subp0_write_sector_misses  2005746115  2005746115  2005746115  2005746115
          1              l2_subp1_write_sector_misses  2003613658  2003613658  2003613658  2003613658
          1               l2_subp0_read_sector_misses   823808567   823808567   823808567   823808567
          1               l2_subp1_read_sector_misses   821915762   821915762   821915762   821915762
          1          l2_subp0_read_tex_sector_queries   935907187   935907187   935907187   935907187
          1          l2_subp1_read_tex_sector_queries   934408264   934408264   934408264   934408264
          1         l2_subp0_write_tex_sector_queries  2292278128  2292278128  2292278128  2292278128
          1         l2_subp1_write_tex_sector_queries  2287901840  2287901840  2287901840  2287901840
          1             l2_subp0_read_tex_hit_sectors   111918427   111918427   111918427   111918427
          1             l2_subp1_read_tex_hit_sectors   112327181   112327181   112327181   112327181
          1            l2_subp0_write_tex_hit_sectors   500027864   500027864   500027864   500027864
          1            l2_subp1_write_tex_hit_sectors   496949180   496949180   496949180   496949180
          1        l2_subp0_total_read_sector_queries   935911988   935911988   935911988   935911988
          1        l2_subp1_total_read_sector_queries   933647588   933647588   933647588   933647588
          1       l2_subp0_total_write_sector_queries  2292281140  2292281140  2292281140  2292281140
          1       l2_subp1_total_write_sector_queries  2287899036  2287899036  2287899036  2287899036
          1       l2_subp0_read_sysmem_sector_queries      771034      771034      771034      771034
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           5           5           5           5
          1      l2_subp1_write_sysmem_sector_queries           0           0           0           0
          1                         elapsed_cycles_sm  3.3443e+10  3.3443e+10  3.3443e+10  3.3443e+10
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                            warps_launched     4194304     4194304     4194304     4194304
          1                              inst_issued0  1.1973e+11  1.1973e+11  1.1973e+11  1.1973e+11
          1                              inst_issued1  1.5659e+10  1.5659e+10  1.5659e+10  1.5659e+10
          1                             inst_executed  5.2770e+10  5.2770e+10  5.2770e+10  5.2770e+10
          1                      thread_inst_executed  1.6383e+12  1.6383e+12  1.6383e+12  1.6383e+12
          1   not_predicated_off_thread_inst_executed  1.5801e+12  1.5801e+12  1.5801e+12  1.5801e+12
          1                             active_cycles  3.3440e+10  3.3440e+10  3.3440e+10  3.3440e+10
          1                              active_warps  2.7843e+12  2.7843e+12  2.7843e+12  2.7843e+12
          1                               shared_atom           0           0           0           0
          1                           sm_cta_launched     1048576     1048576     1048576     1048576
          1                           shared_atom_cas           0           0           0           0
          1                               shared_load           0           0           0           0
          1                              shared_store           0           0           0           0
          1                              generic_load   281018368   281018368   281018368   281018368
          1                             generic_store   290455552   290455552   290455552   290455552
          1                               global_load           0           0           0           0
          1                              global_store           0           0           0           0
          1                                local_load   583008256   583008256   583008256   583008256
          1                               local_store   591396864   591396864   591396864   591396864
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
