kernel,InputData,thread,event/metric,invocation,min,max,avg
__omp_offloading_2f_3253403_main_l37,default,128,1,fb_subp0_read_sectors,765095396,765095396,765095396
__omp_offloading_2f_3253403_main_l37,default,128,1,fb_subp1_read_sectors,764220484,764220484,764220484
__omp_offloading_2f_3253403_main_l37,default,128,1,fb_subp0_write_sectors,1832864437,1832864437,1832864437
__omp_offloading_2f_3253403_main_l37,default,128,1,fb_subp1_write_sectors,1831927767,1831927767,1831927767
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_write_sector_misses,1832523972,1832523972,1832523972
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_write_sector_misses,1831215498,1831215498,1831215498
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_read_sector_misses,765528195,765528195,765528195
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_read_sector_misses,763777839,763777839,763777839
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_read_tex_sector_queries,874663641,874663641,874663641
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_read_tex_sector_queries,872520922,872520922,872520922
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_write_tex_sector_queries,2146737624,2146737624,2146737624
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_write_tex_sector_queries,2148229672,2148229672,2148229672
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_read_tex_hit_sectors,108975186,108975186,108975186
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_read_tex_hit_sectors,108640388,108640388,108640388
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_write_tex_hit_sectors,547177300,547177300,547177300
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_write_tex_hit_sectors,549759720,549759720,549759720
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_total_read_sector_queries,874144060,874144060,874144060
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_total_read_sector_queries,872830805,872830805,872830805
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_total_write_sector_queries,2146735264,2146735264,2146735264
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_total_write_sector_queries,2148232157,2148232157,2148232157
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_read_sysmem_sector_queries,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_read_sysmem_sector_queries,733067,733067,733067
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp0_write_sysmem_sector_queries,4,4,4
__omp_offloading_2f_3253403_main_l37,default,128,1,l2_subp1_write_sysmem_sector_queries,1,1,1
__omp_offloading_2f_3253403_main_l37,default,128,1,elapsed_cycles_sm,3.0541e+10,3.0541e+10,3.0541e+10
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_00,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_01,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_02,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_03,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_04,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_05,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_06,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,prof_trigger_07,0,0,0
__omp_offloading_2f_3253403_main_l37,default,128,1,warps_launched,4194304,4194304,4194304
